user_id,channel,timestamp,touchpoint_order
1,Display,2023-04-13 00:00:00.000000,1
1,Email,2023-04-14 19:36:19.636352,2
1,Social,2023-04-15 00:39:41.117362,3
1,Paid Search,2023-04-15 20:09:02.787439,4
2,Social,2023-07-11 00:00:00.000000,1
2,Social,2023-07-11 01:00:00.000000,2
2,Display,2023-07-12 12:42:37.357284,3
2,Social,2023-07-12 15:00:15.402110,4
2,Direct,2023-07-13 03:43:22.287239,5
2,Content,2023-07-15 01:57:48.420209,6
2,Email,2023-07-22 01:57:48.420209,7
2,Paid Search,2023-07-26 00:18:59.182327,8
3,Paid Search,2023-06-16 00:00:00.000000,1
4,Display,2023-09-22 00:00:00.000000,1
5,Display,2023-02-04 00:00:00.000000,1
5,Social,2023-02-04 17:55:48.849310,2
5,Social,2023-02-06 07:54:32.321601,3
5,Content,2023-02-13 07:33:49.394138,4
5,Paid Search,2023-02-18 22:12:29.709792,5
5,Direct,2023-02-20 17:56:19.912252,6
6,Direct,2023-08-03 00:00:00.000000,1
6,Paid Search,2023-08-05 18:01:49.183478,2
6,Paid Search,2023-08-07 12:26:53.470206,3
7,Display,2023-07-07 00:00:00.000000,1
7,Paid Search,2023-07-07 03:43:07.830131,2
7,Direct,2023-07-10 02:44:02.626666,3
8,Social,2023-09-18 00:00:00.000000,1
8,Paid Search,2023-09-21 19:04:26.780718,2
8,Social,2023-09-21 23:53:14.059729,3
8,Social,2023-09-24 04:56:05.261797,4
8,Paid Search,2023-09-25 23:53:01.254351,5
8,Email,2023-09-27 15:25:35.712292,6
9,Content,2023-05-11 00:00:00.000000,1
9,Email,2023-05-12 08:40:44.785605,2
9,Social,2023-05-13 11:27:15.078312,3
9,Display,2023-05-13 16:56:03.211113,4
10,Social,2023-08-10 00:00:00.000000,1
11,Display,2023-01-29 00:00:00.000000,1
11,Email,2023-01-29 08:26:19.684349,2
12,Display,2023-02-14 00:00:00.000000,1
12,Paid Search,2023-02-14 11:49:48.964694,2
13,Paid Search,2023-05-08 00:00:00.000000,1
13,Display,2023-05-08 05:35:47.125269,2
13,Content,2023-05-09 08:20:06.694576,3
13,Direct,2023-05-13 06:57:35.105717,4
13,Display,2023-05-14 17:16:25.706051,5
14,Display,2023-06-01 00:00:00.000000,1
14,Content,2023-06-03 10:16:34.229605,2
14,Social,2023-06-10 10:16:34.229605,3
14,Direct,2023-06-11 00:11:56.821380,4
14,Paid Search,2023-06-11 17:22:47.204882,5
14,Email,2023-06-11 19:11:01.802640,6
15,Display,2023-08-08 00:00:00.000000,1
16,Content,2023-05-06 00:00:00.000000,1
17,Email,2023-09-04 00:00:00.000000,1
17,Content,2023-09-06 14:31:55.014843,2
17,Social,2023-09-08 14:33:22.062451,3
17,Paid Search,2023-09-10 03:23:26.233643,4
18,Display,2023-12-15 00:00:00.000000,1
18,Display,2023-12-17 11:36:31.012656,2
18,Paid Search,2023-12-18 08:11:16.021833,3
18,Content,2023-12-23 23:39:07.005214,4
18,Email,2023-12-25 10:39:29.255116,5
19,Social,2023-05-31 00:00:00.000000,1
19,Content,2023-05-31 09:13:52.422583,2
19,Direct,2023-06-01 20:07:35.441129,3
20,Social,2023-01-09 00:00:00.000000,1
20,Direct,2023-01-12 21:07:45.963143,2
21,Display,2023-06-10 00:00:00.000000,1
21,Content,2023-06-14 13:50:06.230431,2
21,Email,2023-06-14 14:50:06.230431,3
21,Content,2023-06-16 19:06:53.490955,4
22,Content,2023-12-04 00:00:00.000000,1
22,Direct,2023-12-04 09:17:15.770184,2
22,Display,2023-12-05 17:58:34.053276,3
23,Content,2023-02-02 00:00:00.000000,1
23,Email,2023-02-02 13:50:17.897899,2
23,Paid Search,2023-02-09 13:50:17.897899,3
24,Content,2023-10-10 00:00:00.000000,1
24,Email,2023-10-12 05:03:34.416505,2
24,Direct,2023-10-12 17:36:59.829831,3
25,Content,2023-01-17 00:00:00.000000,1
25,Display,2023-01-21 07:11:27.633916,2
25,Social,2023-01-27 10:01:46.595117,3
25,Social,2023-01-29 00:39:13.747596,4
25,Email,2023-02-05 00:39:13.747596,5
25,Content,2023-02-05 18:09:59.281913,6
25,Social,2023-02-06 09:10:20.655048,7
25,Paid Search,2023-02-07 07:33:18.927747,8
26,Display,2023-12-26 00:00:00.000000,1
27,Content,2023-05-31 00:00:00.000000,1
28,Display,2023-09-30 00:00:00.000000,1
28,Social,2023-10-01 14:37:48.408249,2
28,Content,2023-10-02 16:45:31.986831,3
28,Email,2023-10-04 14:08:33.937828,4
28,Content,2023-10-04 15:08:33.937828,5
29,Display,2023-05-22 00:00:00.000000,1
29,Content,2023-05-22 04:44:14.675572,2
29,Email,2023-05-22 06:29:39.864780,3
29,Paid Search,2023-05-23 20:02:40.369187,4
29,Email,2023-05-25 14:56:20.070396,5
30,Content,2023-11-22 00:00:00.000000,1
30,Email,2023-11-25 12:27:21.511208,2
31,Content,2023-12-31 00:00:00.000000,1
31,Paid Search,2023-12-31 07:08:51.598270,2
32,Content,2023-06-07 00:00:00.000000,1
33,Display,2023-02-27 00:00:00.000000,1
34,Social,2023-10-06 00:00:00.000000,1
34,Display,2023-10-10 22:26:45.017954,2
34,Email,2023-10-11 11:36:19.363841,3
35,Social,2023-09-29 00:00:00.000000,1
35,Social,2023-10-01 14:51:17.962125,2
